facility_id,timestamp,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,solar_generation_kwh,power_factor,temperature,humidity
FAC-001,2026-07-20 00:00:00,180.77,395.4,88.26,38.71,0.0,0.96,17.5,47.0
FAC-001,2026-07-20 01:00:00,177.85,420.6,97.67,41.98,0.0,0.97,16.2,39.8
FAC-001,2026-07-20 02:00:00,168.84,460.2,92.68,34.36,0.0,0.96,16.9,38.2
FAC-001,2026-07-20 03:00:00,164.71,428.3,84.16,34.8,0.0,0.94,17.5,58.2
FAC-001,2026-07-20 04:00:00,173.72,477.5,86.38,32.29,0.0,0.97,19.3,37.7
FAC-001,2026-07-20 05:00:00,166.84,426.6,85.8,32.9,0.0,0.97,20.8,57.3
FAC-001,2026-07-20 06:00:00,171.24,397.3,79.16,42.67,0.0,0.97,21.1,41.0
FAC-001,2026-07-20 07:00:00,173.5,474.6,79.89,31.47,0.0,0.94,22.1,52.0
FAC-001,2026-07-20 08:00:00,392.48,813.3,176.91,92.35,30.71,0.96,24.6,54.2
FAC-001,2026-07-20 09:00:00,435.98,1041.3,241.15,90.88,60.82,0.98,25.0,58.4
FAC-001,2026-07-20 10:00:00,489.71,1101.0,223.37,115.75,86.34,0.99,26.1,48.4
FAC-001,2026-07-20 11:00:00,499.9,1071.3,216.06,123.59,87.51,0.92,29.1,51.6
FAC-001,2026-07-20 12:00:00,464.13,971.0,232.28,98.47,105.29,0.97,28.8,47.1
FAC-001,2026-07-20 13:00:00,523.14,1126.4,236.67,126.11,107.83,0.99,26.5,50.7
FAC-001,2026-07-20 14:00:00,535.85,1268.7,287.39,133.17,96.82,0.97,27.3,48.7
FAC-001,2026-07-20 15:00:00,496.72,1045.8,268.69,119.18,73.63,0.94,25.1,53.0
FAC-001,2026-07-20 16:00:00,498.18,1245.6,237.28,117.18,54.3,0.94,26.1,38.2
FAC-001,2026-07-20 17:00:00,474.91,1208.3,212.06,99.7,27.84,0.97,23.6,55.4
FAC-001,2026-07-20 18:00:00,444.0,1176.9,245.77,96.57,0.0,0.95,22.0,56.2
FAC-001,2026-07-20 19:00:00,409.58,1004.5,193.87,87.83,0.0,0.94,20.4,43.4
FAC-001,2026-07-20 20:00:00,168.65,364.6,93.33,33.96,0.0,0.95,17.6,43.1
FAC-001,2026-07-20 21:00:00,177.46,485.4,84.53,37.5,0.0,0.95,17.0,46.4
FAC-001,2026-07-20 22:00:00,167.72,392.7,87.58,30.44,0.0,0.97,17.0,40.1
FAC-001,2026-07-20 23:00:00,163.39,436.2,88.37,31.68,0.0,0.94,15.7,57.6
FAC-001,2026-07-21 00:00:00,166.95,364.1,82.49,31.01,0.0,0.99,15.6,58.1
FAC-001,2026-07-21 01:00:00,169.52,466.5,88.37,38.33,0.0,0.94,14.9,37.8
FAC-001,2026-07-21 02:00:00,275.59,621.7,179.13,59.44,0.0,0.93,16.4,53.9
FAC-001,2026-07-21 03:00:00,164.1,383.3,70.95,30.71,0.0,0.99,18.7,46.7
FAC-001,2026-07-21 04:00:00,164.97,356.5,89.72,38.74,0.0,0.96,19.4,58.7
FAC-001,2026-07-21 05:00:00,177.13,385.2,77.32,32.66,0.0,0.92,21.1,38.4
FAC-001,2026-07-21 06:00:00,166.28,383.8,78.01,32.83,0.0,0.94,21.7,59.7
FAC-001,2026-07-21 07:00:00,165.92,438.4,72.49,37.13,0.0,0.96,23.7,39.3
FAC-001,2026-07-21 08:00:00,403.94,1106.2,204.86,78.65,27.56,0.92,25.9,42.4
FAC-001,2026-07-21 09:00:00,417.93,1134.7,217.6,94.03,60.95,0.97,25.5,56.1
FAC-001,2026-07-21 10:00:00,435.9,1093.3,227.29,90.74,87.52,0.93,26.5,43.4
FAC-001,2026-07-21 11:00:00,453.47,1039.6,224.26,85.54,94.77,0.97,26.8,44.2
FAC-001,2026-07-21 12:00:00,475.25,1095.0,253.69,109.07,98.45,0.93,26.9,59.6
FAC-001,2026-07-21 13:00:00,502.05,1087.3,253.64,122.4,106.52,0.95,28.2,51.3
FAC-001,2026-07-21 14:00:00,543.24,1397.8,298.55,101.39,97.68,0.97,26.2,54.9
FAC-001,2026-07-21 15:00:00,470.0,964.9,230.44,90.32,77.66,0.95,26.6,51.6
FAC-001,2026-07-21 16:00:00,466.31,1278.5,207.82,111.73,53.37,0.98,26.4,37.4
FAC-001,2026-07-21 17:00:00,478.25,1164.8,227.41,117.16,27.24,0.96,22.8,44.1
FAC-001,2026-07-21 18:00:00,421.42,1076.2,226.51,92.45,0.0,0.93,23.1,45.8
FAC-001,2026-07-21 19:00:00,412.82,1125.0,185.18,85.56,0.0,0.94,21.6,43.8
FAC-001,2026-07-21 20:00:00,182.32,430.0,85.78,42.81,0.0,0.95,18.6,46.1
FAC-001,2026-07-21 21:00:00,172.26,396.3,85.85,40.76,0.0,0.96,17.1,41.9
FAC-001,2026-07-21 22:00:00,182.29,375.7,92.06,41.08,0.0,0.96,16.9,44.0
FAC-001,2026-07-21 23:00:00,167.36,397.6,92.65,34.91,0.0,0.86,16.3,47.7
FAC-001,2026-07-22 00:00:00,182.89,433.8,82.64,35.35,0.0,0.94,16.4,51.3
FAC-001,2026-07-22 01:00:00,173.68,476.9,76.33,34.59,0.0,0.96,14.7,48.0
FAC-001,2026-07-22 02:00:00,177.95,432.3,97.82,44.09,0.0,0.95,17.3,36.6
FAC-001,2026-07-22 03:00:00,168.69,414.8,82.84,35.74,0.0,0.94,17.8,55.8
FAC-001,2026-07-22 04:00:00,171.45,375.6,94.57,41.81,0.0,0.92,20.0,59.2
FAC-001,2026-07-22 05:00:00,178.83,396.6,89.22,32.54,0.0,0.95,20.6,53.6
FAC-001,2026-07-22 06:00:00,177.83,458.8,78.5,37.16,0.0,0.97,21.3,47.5
FAC-001,2026-07-22 07:00:00,174.33,381.2,94.38,39.73,0.0,0.98,24.7,43.2
FAC-001,2026-07-22 08:00:00,416.8,1107.3,230.19,76.42,29.04,0.95,24.8,44.6
FAC-001,2026-07-22 09:00:00,461.61,961.0,228.8,115.03,57.1,0.94,25.2,58.7
FAC-001,2026-07-22 10:00:00,450.55,1205.1,228.34,103.85,87.88,0.96,27.4,48.8
FAC-001,2026-07-22 11:00:00,459.33,1176.1,229.13,91.32,87.03,0.92,27.9,59.2
FAC-001,2026-07-22 12:00:00,468.18,1100.2,234.9,111.84,116.33,0.94,27.1,50.4
FAC-001,2026-07-22 13:00:00,473.5,1289.4,224.98,94.02,109.44,0.94,26.5,48.5
FAC-001,2026-07-22 14:00:00,546.51,1369.7,289.45,123.54,103.38,0.99,28.5,47.9
FAC-001,2026-07-22 15:00:00,505.59,1258.0,225.74,111.98,80.12,0.92,26.2,58.8
FAC-001,2026-07-22 16:00:00,482.64,1127.3,252.38,107.27,55.09,0.94,23.9,44.3
FAC-001,2026-07-22 17:00:00,648.26,1327.1,344.53,120.32,29.82,0.93,24.4,57.9
FAC-001,2026-07-22 18:00:00,456.03,1192.7,199.2,107.08,0.0,0.96,23.0,53.2
FAC-001,2026-07-22 19:00:00,393.08,1026.2,180.56,76.58,0.0,0.93,21.9,35.6
FAC-001,2026-07-22 20:00:00,172.21,463.1,92.89,37.68,0.0,0.82,18.3,51.7
FAC-001,2026-07-22 21:00:00,174.87,458.1,88.99,33.78,0.0,0.99,17.7,37.2
FAC-001,2026-07-22 22:00:00,176.08,401.6,79.02,37.14,0.0,0.96,15.3,54.0
FAC-001,2026-07-22 23:00:00,172.23,469.8,75.24,40.1,0.0,0.94,15.3,49.4
FAC-001,2026-07-23 00:00:00,171.95,398.6,89.52,37.69,0.0,0.95,14.5,37.0
FAC-001,2026-07-23 01:00:00,164.11,366.8,85.65,40.11,0.0,0.95,17.3,58.5
FAC-001,2026-07-23 02:00:00,164.36,391.0,84.97,34.31,0.0,0.92,17.7,46.3
FAC-001,2026-07-23 03:00:00,172.73,386.2,93.46,40.15,0.0,0.93,19.0,49.5
FAC-001,2026-07-23 04:00:00,178.71,431.9,85.35,42.26,0.0,0.93,19.1,58.4
FAC-001,2026-07-23 05:00:00,186.41,385.2,98.67,36.79,0.0,0.93,19.5,44.3
FAC-001,2026-07-23 06:00:00,182.35,435.7,81.09,38.01,0.0,0.96,21.0,55.2
FAC-001,2026-07-23 07:00:00,177.57,447.4,92.5,37.08,0.0,0.96,23.1,57.7
FAC-001,2026-07-23 08:00:00,388.4,930.6,189.72,90.48,31.83,0.98,24.7,57.5
FAC-001,2026-07-23 09:00:00,456.21,1036.0,247.11,84.95,61.94,0.93,26.0,41.3
FAC-001,2026-07-23 10:00:00,440.57,1008.7,206.41,96.95,79.43,0.97,28.0,43.3
FAC-001,2026-07-23 11:00:00,461.35,1023.0,206.2,94.2,103.05,0.92,28.9,50.8
FAC-001,2026-07-23 12:00:00,507.78,1351.9,253.17,114.7,99.4,0.94,26.5,44.3
FAC-001,2026-07-23 13:00:00,514.58,1300.6,226.14,121.09,99.06,0.98,28.5,51.5
FAC-001,2026-07-23 14:00:00,536.28,1240.3,251.15,117.97,101.79,0.94,28.2,58.2
FAC-001,2026-07-23 15:00:00,516.33,1316.9,282.65,96.5,75.88,0.98,26.0,37.2
FAC-001,2026-07-23 16:00:00,467.5,1232.3,218.72,109.42,52.38,0.95,23.8,43.4
FAC-001,2026-07-23 17:00:00,502.45,1362.7,268.78,106.61,28.23,0.94,23.7,58.6
FAC-001,2026-07-23 18:00:00,615.5,1637.6,339.75,115.67,0.0,0.95,22.5,36.9
FAC-001,2026-07-23 19:00:00,409.87,925.9,191.56,89.78,0.0,0.85,21.5,49.3
FAC-001,2026-07-23 20:00:00,170.0,366.9,79.3,32.5,0.0,0.94,20.2,59.4
FAC-001,2026-07-23 21:00:00,186.74,497.9,88.27,35.09,0.0,0.96,17.5,42.2
FAC-001,2026-07-23 22:00:00,174.69,401.0,97.58,32.11,0.0,0.95,16.3,53.2
FAC-001,2026-07-23 23:00:00,188.35,458.9,100.7,45.12,0.0,0.98,15.9,42.9
FAC-001,2026-07-24 00:00:00,169.96,358.7,94.33,34.31,0.0,0.96,14.8,40.5
FAC-001,2026-07-24 01:00:00,174.12,408.7,92.97,40.35,0.0,0.94,17.0,36.3
FAC-001,2026-07-24 02:00:00,267.27,724.7,131.5,52.52,0.0,0.98,16.8,48.0
FAC-001,2026-07-24 03:00:00,189.12,412.7,86.61,44.78,0.0,0.93,17.5,58.3
FAC-001,2026-07-24 04:00:00,176.32,379.6,96.87,42.9,0.0,0.95,18.0,59.2
FAC-001,2026-07-24 05:00:00,166.62,449.0,74.27,30.99,0.0,0.93,20.3,50.0
FAC-001,2026-07-24 06:00:00,168.31,438.0,92.75,41.0,0.0,0.92,22.4,41.9
FAC-001,2026-07-24 07:00:00,179.77,376.8,78.98,43.8,0.0,0.96,23.2,39.5
FAC-001,2026-07-24 08:00:00,446.48,1020.2,221.19,82.96,30.73,0.98,24.1,39.8
FAC-001,2026-07-24 09:00:00,426.43,1012.8,225.9,82.9,55.36,0.99,25.4,44.0
FAC-001,2026-07-24 10:00:00,468.65,1085.5,229.58,113.91,87.69,0.95,28.1,35.1
FAC-002,2026-06-24 10:00:00,693.07,1734.9,318.72,134.43,108.88,0.94,26.4,55.0
FAC-002,2026-06-24 11:00:00,730.84,1604.2,353.79,181.58,136.03,0.94,27.4,57.8
FAC-002,2026-06-24 12:00:00,744.35,1821.8,410.49,136.51,148.34,0.84,28.4,52.5
FAC-002,2026-06-24 13:00:00,744.53,2026.8,329.2,156.28,145.63,0.95,28.6,47.4
FAC-002,2026-06-24 14:00:00,804.8,1970.0,436.79,182.78,131.33,0.97,26.4,57.1
FAC-002,2026-06-24 15:00:00,1139.0,2618.6,559.92,205.59,128.73,0.96,26.9,58.9
FAC-002,2026-06-24 16:00:00,721.07,1536.6,399.46,162.2,82.62,0.98,25.5,46.8
FAC-002,2026-06-24 17:00:00,713.27,1679.0,312.33,149.03,45.41,0.97,24.4,36.0
FAC-002,2026-06-24 18:00:00,668.46,1509.6,368.67,159.39,0.0,0.95,21.0,35.8
FAC-002,2026-06-24 19:00:00,598.11,1620.0,275.84,111.15,0.0,0.96,21.7,43.6
FAC-002,2026-06-24 20:00:00,244.52,633.8,111.08,58.24,0.0,0.94,19.1,35.0
FAC-002,2026-06-24 21:00:00,251.68,564.1,116.42,59.5,0.0,0.93,18.9,41.0
FAC-002,2026-06-24 22:00:00,257.93,677.9,135.98,56.37,0.0,0.99,17.1,47.3
FAC-002,2026-06-24 23:00:00,284.46,716.8,136.5,54.23,0.0,0.94,16.5,46.1
FAC-002,2026-06-25 00:00:00,254.07,639.7,124.07,55.3,0.0,0.97,16.4,38.8
FAC-002,2026-06-25 01:00:00,259.06,566.8,135.96,47.0,0.0,0.95,16.3,58.2
FAC-002,2026-06-25 02:00:00,263.6,584.6,117.45,62.26,0.0,0.98,18.1,48.0
FAC-002,2026-06-25 03:00:00,275.76,569.4,123.27,61.24,0.0,0.95,16.8,44.1
FAC-002,2026-06-25 04:00:00,269.2,584.6,118.36,57.95,0.0,0.96,19.2,53.5
FAC-002,2026-06-25 05:00:00,275.2,689.8,133.82,58.86,0.0,0.92,20.8,42.7
FAC-002,2026-06-25 06:00:00,246.72,525.9,135.7,56.31,0.0,0.94,23.0,36.1
FAC-002,2026-06-25 07:00:00,280.46,696.0,120.93,54.44,0.0,0.94,22.1,41.1
FAC-002,2026-06-25 08:00:00,615.6,1340.6,322.35,150.38,44.09,0.96,25.9,36.6
FAC-002,2026-06-25 09:00:00,672.21,1797.0,368.35,126.76,86.9,0.95,25.0,42.0
FAC-002,2026-06-25 10:00:00,751.84,1621.5,350.92,159.59,124.97,0.95,28.3,50.7
FAC-002,2026-06-25 11:00:00,689.01,1537.0,380.99,130.42,153.57,0.99,28.6,40.5
FAC-002,2026-06-25 12:00:00,769.22,2062.2,407.76,144.06,173.35,0.94,28.1,46.5
FAC-002,2026-06-25 13:00:00,776.46,1974.9,407.55,162.1,162.27,0.97,28.9,46.5
FAC-002,2026-06-25 14:00:00,734.86,1895.8,362.13,177.89,141.46,0.93,28.7,54.3
FAC-002,2026-06-25 15:00:00,755.16,1959.9,347.65,157.58,127.73,0.94,26.5,44.5
FAC-002,2026-06-25 16:00:00,745.15,1614.8,374.65,159.5,86.38,0.98,23.9,54.2
FAC-002,2026-06-25 17:00:00,752.08,1595.2,359.47,142.51,45.14,0.99,22.8,45.2
FAC-002,2026-06-25 18:00:00,695.9,1674.7,340.52,133.58,0.0,0.93,22.2,52.9
FAC-002,2026-06-25 19:00:00,665.16,1419.9,367.83,131.12,0.0,0.94,21.9,56.5
FAC-002,2026-06-25 20:00:00,282.9,667.2,137.22,51.11,0.0,0.92,18.5,46.8
FAC-002,2026-06-25 21:00:00,279.58,735.3,144.28,58.82,0.0,0.98,17.9,42.1
FAC-002,2026-06-25 22:00:00,271.12,711.7,146.99,51.89,0.0,0.98,16.1,57.6
FAC-002,2026-06-25 23:00:00,266.21,681.1,116.22,48.74,0.0,0.95,15.3,51.7
FAC-002,2026-06-26 00:00:00,401.54,959.3,176.8,83.13,0.0,0.94,17.4,51.0
FAC-002,2026-06-26 01:00:00,378.52,978.9,205.82,70.64,0.0,0.96,14.9,38.5
FAC-002,2026-06-26 02:00:00,251.66,564.8,124.7,54.9,0.0,0.99,17.5,36.9
FAC-002,2026-06-26 03:00:00,263.7,568.0,118.9,65.52,0.0,0.95,18.2,38.2
FAC-002,2026-06-26 04:00:00,254.48,686.6,138.8,46.53,0.0,0.98,19.9,35.8
FAC-002,2026-06-26 05:00:00,265.12,553.5,124.45,54.45,0.0,0.86,20.3,58.7
FAC-002,2026-06-26 06:00:00,265.36,554.3,130.74,60.82,0.0,0.93,22.7,39.7
FAC-002,2026-06-26 07:00:00,251.97,577.9,136.57,61.97,0.0,0.94,22.9,51.4
FAC-002,2026-06-26 08:00:00,668.33,1610.0,321.81,152.76,44.86,0.94,24.9,52.7
FAC-002,2026-06-26 09:00:00,646.42,1397.1,281.51,138.81,87.09,0.97,27.6,39.9
FAC-002,2026-06-26 10:00:00,724.82,1729.2,354.44,157.9,129.5,0.95,27.4,39.7
FAC-002,2026-06-26 11:00:00,753.25,1602.2,385.91,140.83,148.36,0.93,27.5,49.7
FAC-002,2026-06-26 12:00:00,746.65,1892.7,338.03,185.99,160.01,0.94,29.4,42.2
FAC-002,2026-06-26 13:00:00,784.91,1758.4,340.03,185.8,159.19,0.92,29.0,52.2
FAC-002,2026-06-26 14:00:00,713.26,1641.8,370.74,156.97,142.26,0.94,28.6,39.4
FAC-002,2026-06-26 15:00:00,745.83,1782.1,364.02,147.52,128.87,0.96,25.3,37.1
FAC-002,2026-06-26 16:00:00,697.21,1657.8,362.35,144.55,84.76,0.95,24.4,51.6
FAC-002,2026-06-26 17:00:00,677.85,1394.1,332.02,131.19,42.22,0.98,22.7,42.0
FAC-002,2026-06-26 18:00:00,679.38,1552.1,298.77,128.67,0.0,0.97,21.3,51.3
FAC-002,2026-06-26 19:00:00,627.64,1553.3,305.55,124.74,0.0,0.98,20.8,45.1
FAC-002,2026-06-26 20:00:00,253.74,684.6,124.92,52.2,0.0,0.95,18.7,55.9
FAC-002,2026-06-26 21:00:00,268.82,555.8,127.27,63.78,0.0,0.98,17.5,47.4
FAC-002,2026-06-26 22:00:00,243.42,556.7,132.25,51.43,0.0,0.93,16.8,45.1
FAC-002,2026-06-26 23:00:00,260.66,683.3,144.66,57.85,0.0,0.93,15.7,49.2
FAC-002,2026-06-27 00:00:00,201.43,441.8,88.52,48.25,0.0,0.97,17.0,38.1
FAC-002,2026-06-27 01:00:00,217.96,495.9,120.54,45.56,0.0,0.96,17.2,59.9
FAC-002,2026-06-27 02:00:00,293.8,650.0,190.97,58.75,0.0,0.98,16.4,47.6
FAC-002,2026-06-27 03:00:00,223.9,551.1,106.61,49.9,0.0,0.96,17.0,37.1
FAC-002,2026-06-27 04:00:00,206.48,525.5,102.21,49.31,0.0,0.98,18.7,44.8
FAC-002,2026-06-27 05:00:00,200.84,433.8,101.79,50.06,0.0,0.92,19.7,55.7
FAC-002,2026-06-27 06:00:00,231.4,549.5,111.8,52.37,0.0,0.96,21.1,47.7
FAC-002,2026-06-27 07:00:00,226.73,580.2,119.17,51.35,0.0,0.96,24.8,36.4
FAC-002,2026-06-27 08:00:00,577.84,1489.3,276.05,125.95,41.63,0.92,25.2,52.9
FAC-002,2026-06-27 09:00:00,686.42,1459.7,355.11,142.5,77.23,0.96,26.0,53.3
FAC-002,2026-06-27 10:00:00,654.03,1755.6,297.56,156.18,126.33,0.93,26.3,35.3
FAC-002,2026-06-27 11:00:00,707.16,1902.9,365.49,136.03,147.63,0.94,26.9,50.6
FAC-002,2026-06-27 12:00:00,720.1,1674.9,338.96,138.63,171.34,0.94,27.5,53.6
FAC-002,2026-06-27 13:00:00,758.93,1925.6,411.29,166.67,146.58,0.96,29.0,46.0
FAC-002,2026-06-27 14:00:00,797.28,2191.1,393.47,177.18,139.85,0.97,26.7,50.6
FAC-002,2026-06-27 15:00:00,697.47,1554.8,340.72,141.79,119.05,0.93,26.3,40.0
FAC-002,2026-06-27 16:00:00,743.59,1951.8,326.73,141.52,78.53,0.97,25.6,51.7
FAC-002,2026-06-27 17:00:00,717.83,1723.0,312.25,160.44,47.59,0.95,24.0,52.3
FAC-002,2026-06-27 18:00:00,647.8,1567.7,343.38,142.06,0.0,0.96,22.7,59.1
FAC-002,2026-06-27 19:00:00,579.41,1438.5,319.77,125.78,0.0,0.95,21.3,53.7
FAC-002,2026-06-27 20:00:00,209.3,559.8,112.8,38.73,0.0,0.94,20.3,52.0
FAC-002,2026-06-27 21:00:00,222.55,613.7,105.65,44.38,0.0,0.97,17.3,36.2
FAC-002,2026-06-27 22:00:00,217.87,576.3,115.27,47.41,0.0,0.92,16.0,46.2
FAC-002,2026-06-27 23:00:00,231.69,543.7,106.35,56.66,0.0,0.99,17.5,35.1
FAC-002,2026-06-28 00:00:00,229.93,539.3,103.05,42.93,0.0,0.99,16.1,38.5
FAC-002,2026-06-28 01:00:00,328.74,720.0,213.68,80.22,0.0,0.97,16.5,39.1
FAC-002,2026-06-28 02:00:00,209.13,452.4,102.52,46.42,0.0,0.97,17.3,39.0
FAC-002,2026-06-28 03:00:00,203.15,523.9,98.59,40.08,0.0,0.94,18.9,39.9
FAC-002,2026-06-28 04:00:00,201.75,507.4,97.02,46.39,0.0,0.96,18.6,37.6
FAC-002,2026-06-28 05:00:00,216.13,491.4,112.85,42.67,0.0,0.84,21.4,57.4
FAC-002,2026-06-28 06:00:00,214.46,439.5,93.08,51.8,0.0,0.99,21.5,58.1
FAC-002,2026-06-28 07:00:00,317.28,813.4,159.07,66.64,0.0,0.92,22.5,40.8
FAC-002,2026-06-28 08:00:00,577.86,1226.8,257.72,143.91,43.22,0.93,26.1,41.4
FAC-002,2026-06-28 09:00:00,920.93,2220.8,402.77,193.58,81.38,0.94,27.5,49.2
FAC-002,2026-06-28 10:00:00,688.51,1829.3,332.92,159.0,119.39,0.99,27.4,37.4
FAC-002,2026-06-28 11:00:00,722.68,1711.4,330.12,174.43,134.73,0.96,27.4,56.7
FAC-002,2026-06-28 12:00:00,747.68,1856.1,328.04,158.9,168.64,0.98,26.9,35.3
FAC-002,2026-06-28 13:00:00,790.82,1853.1,421.3,158.72,157.83,0.95,26.7,39.9
FAC-002,2026-06-28 14:00:00,729.51,1999.3,314.56,163.34,139.57,0.93,26.8,35.2
FAC-002,2026-06-28 15:00:00,698.45,1698.2,385.7,169.34,121.52,0.97,26.7,36.1
FAC-002,2026-06-28 16:00:00,727.81,1915.8,364.96,176.24,79.1,0.93,24.4,45.0
FAC-002,2026-06-28 17:00:00,702.25,1861.7,375.15,148.11,44.88,0.97,22.8,57.1
FAC-002,2026-06-28 18:00:00,634.92,1748.8,295.23,149.98,0.0,0.93,21.7,47.3
FAC-002,2026-06-28 19:00:00,615.31,1256.3,307.58,112.88,0.0,0.94,19.3,37.8
FAC-002,2026-06-28 20:00:00,221.11,463.7,115.55,42.56,0.0,0.99,20.1,56.6
FAC-002,2026-06-28 21:00:00,204.55,505.2,109.81,47.83,0.0,0.94,16.6,47.7
FAC-002,2026-06-28 22:00:00,211.14,528.2,103.84,43.38,0.0,0.98,16.4,38.5
FAC-002,2026-06-28 23:00:00,223.91,610.0,123.41,44.67,0.0,0.92,14.9,57.3
FAC-002,2026-06-29 00:00:00,271.15,560.7,145.91,51.66,0.0,0.98,14.9,46.7
FAC-002,2026-06-29 01:00:00,244.19,572.0,113.73,44.51,0.0,0.98,16.6,39.0
FAC-002,2026-06-29 02:00:00,264.69,684.3,119.11,64.72,0.0,0.97,15.9,40.3
FAC-002,2026-06-29 03:00:00,252.16,656.7,122.81,59.19,0.0,0.95,18.8,51.4
FAC-002,2026-06-29 04:00:00,254.45,569.1,119.83,47.88,0.0,0.93,20.2,37.6
FAC-002,2026-06-29 05:00:00,271.91,666.0,120.31,66.5,0.0,0.95,19.7,52.3
FAC-002,2026-06-29 06:00:00,278.34,612.2,135.9,62.51,0.0,0.97,21.9,50.4
FAC-002,2026-06-29 07:00:00,280.65,655.5,138.84,67.05,0.0,0.94,24.5,40.7
FAC-002,2026-06-29 08:00:00,654.56,1386.8,311.54,147.25,42.56,0.98,24.3,56.4
FAC-002,2026-06-29 09:00:00,714.87,1821.2,398.44,142.1,77.95,0.95,26.9,35.8
FAC-002,2026-06-29 10:00:00,661.27,1679.0,295.29,127.16,132.31,0.98,26.7,40.9
FAC-002,2026-06-29 11:00:00,738.9,1597.7,378.41,146.3,158.89,0.85,27.3,46.2
FAC-002,2026-06-29 12:00:00,747.21,1972.6,361.6,172.82,164.16,0.94,28.3,44.2
FAC-002,2026-06-29 13:00:00,743.7,1882.9,333.5,145.0,144.86,0.97,28.5,36.3
FAC-002,2026-06-29 14:00:00,811.01,1965.3,395.47,179.24,159.73,0.98,26.3,46.0
FAC-002,2026-06-29 15:00:00,793.19,2075.7,442.98,164.36,109.13,0.96,26.2,53.6
FAC-002,2026-06-29 16:00:00,732.78,1710.3,344.17,181.85,89.25,0.94,24.2,39.3
FAC-002,2026-06-29 17:00:00,678.27,1522.0,347.11,127.69,46.43,0.92,24.9,56.7
FAC-002,2026-06-29 18:00:00,694.17,1756.7,353.41,172.13,0.0,0.92,23.4,48.5
FAC-002,2026-06-29 19:00:00,586.09,1353.4,305.62,131.95,0.0,0.84,21.7,43.0
FAC-002,2026-06-29 20:00:00,265.45,721.8,142.57,49.7,0.0,0.98,19.6,44.6
FAC-002,2026-06-29 21:00:00,275.97,646.6,153.21,52.12,0.0,0.95,17.3,36.3
FAC-002,2026-06-29 22:00:00,261.31,684.1,118.98,61.96,0.0,0.95,17.2,42.2
FAC-002,2026-06-29 23:00:00,273.74,559.8,119.14,51.09,0.0,0.93,17.7,42.2
FAC-002,2026-06-30 00:00:00,253.06,582.7,139.61,54.77,0.0,0.98,15.5,40.2
FAC-002,2026-06-30 01:00:00,256.26,629.3,132.76,51.32,0.0,0.92,15.9,58.4
FAC-002,2026-06-30 02:00:00,270.93,564.1,125.48,51.18,0.0,0.94,15.8,54.0
FAC-002,2026-06-30 03:00:00,386.34,875.3,251.12,84.76,0.0,0.94,18.9,39.8
FAC-002,2026-06-30 04:00:00,280.8,645.5,133.52,61.38,0.0,0.93,19.1,40.1
FAC-002,2026-06-30 05:00:00,276.54,673.3,140.14,51.65,0.0,0.97,20.8,38.8
FAC-002,2026-06-30 06:00:00,271.49,618.9,117.6,56.69,0.0,0.97,22.3,57.8
FAC-002,2026-06-30 07:00:00,281.8,658.6,157.02,50.93,0.0,0.98,25.0,50.3
FAC-002,2026-06-30 08:00:00,582.63,1531.2,264.43,135.8,40.44,0.92,24.6,50.3
FAC-002,2026-06-30 09:00:00,647.82,1564.4,287.65,119.77,87.9,0.97,26.0,45.0
FAC-002,2026-06-30 10:00:00,990.91,2626.0,644.09,201.21,122.85,0.82,27.2,59.2
FAC-002,2026-06-30 11:00:00,682.52,1695.9,310.29,159.7,155.61,0.87,28.7,41.5
FAC-002,2026-06-30 12:00:00,720.54,1645.1,313.61,139.84,147.29,0.95,27.9,41.8
FAC-002,2026-06-30 13:00:00,1130.17,3003.5,544.12,272.02,166.18,0.95,28.4,40.2
FAC-002,2026-06-30 14:00:00,713.18,1898.7,383.18,134.66,157.5,0.95,27.6,55.1
FAC-002,2026-06-30 15:00:00,789.51,1873.6,386.95,194.11,120.27,0.97,26.4,39.5
FAC-002,2026-06-30 16:00:00,787.71,1872.3,415.82,186.52,77.8,0.97,23.6,56.3
FAC-002,2026-06-30 17:00:00,667.86,1387.3,314.72,133.4,45.26,0.93,22.5,40.8
FAC-002,2026-06-30 18:00:00,666.39,1656.1,352.7,140.82,0.0,0.93,21.8,44.9
FAC-002,2026-06-30 19:00:00,632.06,1392.6,303.68,121.33,0.0,0.96,20.5,39.3
FAC-002,2026-06-30 20:00:00,278.89,764.8,129.27,59.8,0.0,0.94,17.8,50.2
FAC-002,2026-06-30 21:00:00,283.4,721.8,148.23,66.65,0.0,0.96,18.8,58.9
FAC-002,2026-06-30 22:00:00,282.23,668.1,142.76,61.44,0.0,0.83,16.8,44.5
FAC-002,2026-06-30 23:00:00,284.3,607.3,135.19,60.17,0.0,0.92,16.4,54.0
FAC-002,2026-07-01 00:00:00,267.03,547.0,123.63,52.33,0.0,0.93,14.9,59.6
FAC-002,2026-07-01 01:00:00,248.38,518.1,113.23,54.93,0.0,0.98,15.4,46.3
FAC-002,2026-07-01 02:00:00,391.42,982.8,189.37,76.12,0.0,0.95,17.4,49.1
FAC-002,2026-07-01 03:00:00,247.84,526.1,131.88,56.3,0.0,0.97,19.1,38.5
FAC-002,2026-07-01 04:00:00,259.01,707.8,143.59,52.6,0.0,0.98,19.9,59.9
